,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
27,2019-2020,La-Liga-Stats,Juan Pérez,es ESP,GK,Osasuna,23,1996,2.0,2.0,180.0,2.0,3.0,1.5,9.0,6.0,77.8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.18,-0.4,-0.22,12.0,38.0,31.6,50.0,10.0,56.0,44.6,14.0,71.4,52.9,27.0,0.0,0.0,3.0,1.5,18.2
28,2019-2020,La-Liga-Stats,Samu Pérez,es ESP,GK,Valladolid,22,1997,1.0,0.0,26.0,0.3,1.0,3.46,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.02,1.0,6.0,16.7,2.0,0.0,50.0,49.5,5.0,100.0,65.2,1.0,0.0,0.0,0.0,0.0,0.0
29,2019-2020,La-Liga-Stats,Manolo Reina,es ESP,GK,Mallorca,34,1985,36.0,36.0,3240.0,36.0,60.0,1.67,179.0,119.0,74.3,9.0,5.0,22.0,5.0,13.9,15.0,14.0,1.0,0.0,6.7,2.0,6.0,1.0,60.9,0.26,1.9,0.05,241.0,644.0,37.4,888.0,176.0,52.4,39.6,306.0,58.5,47.9,520.0,26.0,5.0,28.0,0.78,13.7
30,2019-2020,La-Liga-Stats,Álex Remiro,es ESP,GK,Real Sociedad,24,1995,25.0,25.0,2250.0,25.0,32.0,1.28,93.0,60.0,73.1,11.0,4.0,10.0,6.0,24.0,8.0,7.0,1.0,0.0,12.5,2.0,3.0,0.0,30.0,0.24,-2.0,-0.08,139.0,351.0,39.6,767.0,76.0,32.6,32.8,146.0,69.2,50.6,297.0,6.0,2.0,42.0,1.68,17.4
31,2019-2020,La-Liga-Stats,Roberto,es ESP,GK,Alavés,33,1986,9.0,8.0,790.0,8.8,19.0,2.16,54.0,35.0,70.4,2.0,1.0,5.0,2.0,25.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,20.1,0.33,1.1,0.13,84.0,195.0,43.1,170.0,9.0,78.8,52.6,66.0,92.4,65.9,107.0,3.0,2.8,3.0,0.34,11.5
32,2019-2020,La-Liga-Stats,Joel Robles,es ESP,GK,Betis,29,1990,33.0,33.0,2887.0,32.1,48.0,1.5,130.0,83.0,71.5,9.0,11.0,13.0,5.0,15.2,11.0,11.0,0.0,0.0,0.0,1.0,3.0,1.0,46.9,0.28,-0.1,0.0,135.0,406.0,33.3,905.0,137.0,34.6,33.0,241.0,38.6,35.5,455.0,10.0,2.2,51.0,1.59,17.8
33,2019-2020,La-Liga-Stats,Rubén,es ESP,GK,Osasuna,35,1984,19.0,18.0,1583.0,17.6,24.0,1.36,54.0,30.0,61.1,5.0,9.0,4.0,4.0,22.2,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,21.2,0.35,-2.8,-0.16,128.0,367.0,34.9,376.0,61.0,66.5,47.0,142.0,82.4,58.0,226.0,5.0,2.2,13.0,0.74,15.4
34,2019-2020,La-Liga-Stats,Rui Silva,pt POR,GK,Granada,25,1994,35.0,35.0,3150.0,35.0,42.0,1.2,142.0,99.0,73.2,15.0,8.0,12.0,12.0,34.3,5.0,4.0,1.0,0.0,20.0,1.0,5.0,0.0,42.8,0.27,0.8,0.02,304.0,823.0,36.9,974.0,115.0,59.9,43.1,299.0,80.3,55.8,499.0,25.0,5.0,66.0,1.89,16.6
35,2019-2020,La-Liga-Stats,Unai Simón,es ESP,GK,Athletic Club,22,1997,34.0,34.0,2991.0,33.2,29.0,0.87,109.0,82.0,78.0,13.0,9.0,12.0,12.0,35.3,7.0,5.0,0.0,2.0,0.0,1.0,2.0,2.0,34.6,0.28,7.6,0.23,304.0,716.0,42.5,838.0,145.0,56.6,42.2,268.0,90.3,61.6,495.0,20.0,4.0,20.0,0.6,13.1
36,2019-2020,La-Liga-Stats,Antonio Sivera,es ESP,GK,Alavés,22,1996,3.0,3.0,270.0,3.0,3.0,1.0,5.0,2.0,60.0,1.0,1.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.25,-0.8,-0.28,29.0,61.0,47.5,56.0,9.0,67.9,46.1,27.0,85.2,57.9,34.0,1.0,2.9,1.0,0.33,9.1
