,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
9,2023-2024,Serie-A,Alessio Cragno,it ITA,GK,Sassuolo,29-248,1994,2.0,2.0,180.0,2.0,6.0,3.0,8.0,3.0,37.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.4,0.3,-1.6,-0.81,10.0,32.0,31.3,47.0,3.0,57.4,41.2,19.0,26.3,29.4,26.0,0.0,0.0,7.0,3.5,28.9
10,2023-2024,Serie-A,Michele Di Gregorio,it ITA,GK,Monza,26-219,1997,23.0,23.0,1972.0,21.9,17.0,0.78,103.0,85.0,84.5,9.0,8.0,6.0,10.0,43.5,2.0,1.0,1.0,0.0,50.0,0.0,4.0,0.0,25.1,0.23,8.1,0.37,100.0,257.0,38.9,723.0,141.0,25.7,29.8,154.0,46.1,41.1,309.0,15.0,4.9,15.0,0.68,11.9
11,2023-2024,Serie-A,Wladimiro Falcone,it ITA,GK,Lecce,28-325,1995,26.0,26.0,2340.0,26.0,43.0,1.65,122.0,79.0,68.0,5.0,9.0,12.0,2.0,7.7,5.0,4.0,1.0,0.0,20.0,1.0,4.0,1.0,40.3,0.3,-1.7,-0.06,92.0,296.0,31.1,580.0,119.0,39.5,33.5,175.0,38.3,32.4,347.0,13.0,3.7,14.0,0.54,11.7
12,2023-2024,Serie-A,Luca Gemello,it ITA,GK,Torino,23-243,2000,1.0,1.0,90.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.16,-1.7,-1.68,4.0,12.0,33.3,42.0,3.0,28.6,32.6,0.0,0.0,0.0,16.0,2.0,12.5,2.0,2.0,15.8
13,2023-2024,Serie-A,Pierluigi Gollini,it ITA,GK,Napoli,28-350,1995,7.0,7.0,630.0,7.0,8.0,1.14,24.0,16.0,66.7,3.0,1.0,3.0,1.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.2,0.34,0.2,0.02,27.0,68.0,39.7,213.0,28.0,22.1,29.5,53.0,39.6,36.3,82.0,5.0,6.1,9.0,1.29,16.2
14,2023-2024,Serie-A,Nicola Leali,it ITA,GK,Genoa,31-014,1993,2.0,1.0,91.0,1.0,2.0,1.98,8.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.34,0.7,0.73,11.0,30.0,36.7,42.0,3.0,69.0,42.5,3.0,33.3,27.0,11.0,1.0,9.1,1.0,0.99,17.8
15,2023-2024,Serie-A,Mike Maignan,fr FRA,GK,Milan,28-243,1995,24.0,24.0,2159.0,24.0,30.0,1.25,97.0,67.0,76.3,15.0,5.0,4.0,8.0,33.3,7.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,26.2,0.2,-3.8,-0.16,103.0,241.0,42.7,878.0,151.0,22.0,28.5,123.0,39.0,37.8,278.0,30.0,10.8,32.0,1.33,15.6
16,2023-2024,Serie-A,Josep Martinez,es ESP,GK,Genoa,25-280,1998,25.0,25.0,2249.0,25.0,29.0,1.16,90.0,61.0,68.9,8.0,9.0,8.0,6.0,24.0,2.0,1.0,1.0,0.0,50.0,1.0,2.0,1.0,27.4,0.3,-0.6,-0.02,152.0,390.0,39.0,860.0,79.0,36.0,35.6,116.0,69.0,50.3,395.0,32.0,8.1,27.0,1.08,12.2
17,2023-2024,Serie-A,Alex Meret,it ITA,GK,Napoli,26-346,1997,19.0,19.0,1693.0,18.8,22.0,1.17,62.0,39.0,66.1,8.0,6.0,5.0,4.0,21.1,2.0,1.0,1.0,0.0,50.0,0.0,2.0,0.0,22.1,0.33,0.1,0.01,32.0,104.0,30.8,458.0,71.0,18.1,27.5,85.0,24.7,30.0,225.0,4.0,1.8,21.0,1.12,16.6
18,2023-2024,Serie-A,Vanja Milinković-Savić,rs SRB,GK,Torino,27-011,1997,25.0,25.0,2250.0,25.0,23.0,0.92,96.0,73.0,80.2,9.0,9.0,7.0,12.0,48.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,23.6,0.21,0.6,0.02,157.0,500.0,31.4,895.0,123.0,42.5,37.3,142.0,84.5,65.1,266.0,28.0,10.5,30.0,1.2,14.0
